GEO_ID,NAME,B13014_001E
08001,"Adams County, Colorado",129860
08003,"Alamosa County, Colorado",4053
08005,"Arapahoe County, Colorado",161452
08007,"Archuleta County, Colorado",2257
08009,"Baca County, Colorado",657
08011,"Bent County, Colorado",885
08013,"Boulder County, Colorado",82955
08014,"Broomfield County, Colorado",17761
08015,"Chaffee County, Colorado",3631
08017,"Cheyenne County, Colorado",232
08019,"Clear Creek County, Colorado",1994
08021,"Conejos County, Colorado",1512
08023,"Costilla County, Colorado",544
08025,"Crowley County, Colorado",796
08027,"Custer County, Colorado",681
08029,"Delta County, Colorado",5471
08031,"Denver County, Colorado",199384
08033,"Dolores County, Colorado",304
08035,"Douglas County, Colorado",84605
08037,"Eagle County, Colorado",13129
08039,"Elbert County, Colorado",5326
08041,"El Paso County, Colorado",174115
08043,"Fremont County, Colorado",7320
08045,"Garfield County, Colorado",13916
08047,"Gilpin County, Colorado",1242
08049,"Grand County, Colorado",3181
08051,"Gunnison County, Colorado",4221
08053,"Hinsdale County, Colorado",110
08055,"Huerfano County, Colorado",1102
08057,"Jackson County, Colorado",223
08059,"Jefferson County, Colorado",133402
08061,"Kiowa County, Colorado",261
08063,"Kit Carson County, Colorado",1402
08065,"Lake County, Colorado",2030
08067,"La Plata County, Colorado",12689
08069,"Larimer County, Colorado",89083
08071,"Las Animas County, Colorado",2592
08073,"Lincoln County, Colorado",992
08075,"Logan County, Colorado",4224
08077,"Mesa County, Colorado",33970
08079,"Mineral County, Colorado",150
08081,"Moffat County, Colorado",2837
08083,"Montezuma County, Colorado",5122
08085,"Montrose County, Colorado",7882
08087,"Morgan County, Colorado",6034
08089,"Otero County, Colorado",4055
08091,"Ouray County, Colorado",819
08093,"Park County, Colorado",2941
08095,"Phillips County, Colorado",746
08097,"Pitkin County, Colorado",3673
08099,"Prowers County, Colorado",2375
08101,"Pueblo County, Colorado",37209
08103,"Rio Blanco County, Colorado",1405
08105,"Rio Grande County, Colorado",2281
08107,"Routt County, Colorado",5570
08109,"Saguache County, Colorado",1117
08111,"San Juan County, Colorado",120
08113,"San Miguel County, Colorado",1975
08115,"Sedgwick County, Colorado",376
08117,"Summit County, Colorado",7526
08119,"Teller County, Colorado",4373
08121,"Washington County, Colorado",932
08123,"Weld County, Colorado",79012
08125,"Yuma County, Colorado",2025
