GEO_ID,NAME,B13014_001E
23001,"Androscoggin County, Maine",24744
23003,"Aroostook County, Maine",12552
23005,"Cumberland County, Maine",69157
23007,"Franklin County, Maine",6276
23009,"Hancock County, Maine",10666
23011,"Kennebec County, Maine",26688
23013,"Knox County, Maine",7424
23015,"Lincoln County, Maine",6226
23017,"Oxford County, Maine",11388
23019,"Penobscot County, Maine",34301
23021,"Piscataquis County, Maine",2992
23023,"Sagadahoc County, Maine",7342
23025,"Somerset County, Maine",10176
23027,"Waldo County, Maine",7903
23029,"Washington County, Maine",5888
23031,"York County, Maine",44085
