GEO_ID,NAME,B13014_001E
49001,"Beaver County, Utah",1439
49003,"Box Elder County, Utah",12734
49005,"Cache County, Utah",35720
49007,"Carbon County, Utah",4508
49009,"Daggett County, Utah",84
49011,"Davis County, Utah",88472
49013,"Duchesne County, Utah",4454
49015,"Emery County, Utah",2152
49017,"Garfield County, Utah",945
49019,"Grand County, Utah",2228
49021,"Iron County, Utah",14287
49023,"Juab County, Utah",2603
49025,"Kane County, Utah",1458
49027,"Millard County, Utah",2608
49029,"Morgan County, Utah",2769
49031,"Piute County, Utah",299
49033,"Rich County, Utah",526
49035,"Salt Lake County, Utah",300574
49037,"San Juan County, Utah",3222
49039,"Sanpete County, Utah",6758
49041,"Sevier County, Utah",4494
49043,"Summit County, Utah",9346
49045,"Tooele County, Utah",17957
49047,"Uintah County, Utah",8342
49049,"Utah County, Utah",174413
49051,"Wasatch County, Utah",7806
49053,"Washington County, Utah",37377
49055,"Wayne County, Utah",497
49057,"Weber County, Utah",63771
