GEO_ID,NAME,Total Student Pop,Total Male Pop,Total Male Enrolled in School,"Total Male Enrolled in nursery school, preschool","Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in nursery school, preschool:!!Private school",Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in kindergarten:,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in kindergarten:!!Public school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in kindergarten:!!Private school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in grade 1 to grade 4:,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in grade 1 to grade 4:!!Public school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in grade 1 to grade 4:!!Private school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in grade 5 to grade 8:,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in grade 5 to grade 8:!!Public school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in grade 5 to grade 8:!!Private school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in grade 9 to grade 12:,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in grade 9 to grade 12:!!Public school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in grade 9 to grade 12:!!Private school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in college undergraduate years:,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in college undergraduate years:!!Public school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in college undergraduate years:!!Private school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in graduate or professional school:,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in graduate or professional school:!!Public school,Estimate!!Total:!!Male:!!Enrolled in school:!!Enrolled in graduate or professional school:!!Private school,Estimate!!Total:!!Male:!!Not enrolled in school,Estimate!!Total:!!Female:,Estimate!!Total:!!Female:!!Enrolled in school:,"Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in nursery school, preschool:","Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in nursery school, preschool:!!Public school","Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in nursery school, preschool:!!Private school",Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in kindergarten:,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in kindergarten:!!Public school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in kindergarten:!!Private school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in grade 1 to grade 4:,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in grade 1 to grade 4:!!Public school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in grade 1 to grade 4:!!Private school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in grade 5 to grade 8:,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in grade 5 to grade 8:!!Public school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in grade 5 to grade 8:!!Private school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in grade 9 to grade 12:,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in grade 9 to grade 12:!!Public school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in grade 9 to grade 12:!!Private school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in college undergraduate years:,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in college undergraduate years:!!Public school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in college undergraduate years:!!Private school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in graduate or professional school:,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in graduate or professional school:!!Public school,Estimate!!Total:!!Female:!!Enrolled in school:!!Enrolled in graduate or professional school:!!Private school,Estimate!!Total:!!Female:!!Not enrolled in school
16001,"Ada County, Idaho",470873,236703,61965,3773,2504,3618,2933,685,10931,9583,1348,15171,13794,1377,14040,12431,1609,11565,9709,1856,2867,2297,570,174738,234170,62168,2433,675,1758,2333,1974,359,11865,10475,1390,14347,12783,1564,13468,11798,1670,13598,11873,1725,4124,3153,971,172002
16003,"Adams County, Idaho",4214,2206,349,23,17,19,19,0,100,100,0,65,65,0,96,88,8,27,16,11,19,19,0,1857,2008,294,9,6,3,3,3,0,59,59,0,108,108,0,72,63,9,33,33,0,10,10,0,1714
16005,"Bannock County, Idaho",82980,41417,12413,671,366,599,571,28,2461,2322,139,2847,2554,293,2409,2344,65,2809,2661,148,617,505,112,29004,41563,11917,314,154,160,559,469,90,2313,2123,190,2642,2502,140,2551,2470,81,2879,2574,305,659,611,48,29646
16007,"Bear Lake County, Idaho",6081,3066,828,35,22,102,85,17,216,202,14,98,76,22,275,275,0,98,58,40,4,4,0,2238,3015,783,45,30,15,79,56,23,155,155,0,198,180,18,206,199,7,84,40,44,16,16,0,2232
16009,"Benewah County, Idaho",9181,4657,894,22,11,50,43,7,235,204,31,313,228,85,220,207,13,47,47,0,7,3,4,3763,4524,874,34,34,0,45,40,5,227,183,44,252,183,69,270,211,59,40,37,3,6,6,0,3650
16011,"Bingham County, Idaho",45533,22690,6419,403,181,286,250,36,1638,1540,98,1817,1766,51,1699,1613,86,484,328,156,92,45,47,16271,22843,6656,321,177,144,270,256,14,1587,1300,287,1570,1400,170,1655,1537,118,1069,767,302,184,157,27,16187
16013,"Blaine County, Idaho",23254,11968,2919,143,41,105,68,37,582,565,17,808,589,219,999,864,135,140,61,79,142,53,89,9049,11286,2175,271,155,116,62,46,16,752,684,68,407,350,57,552,333,219,84,65,19,47,47,0,9111
16015,"Boise County, Idaho",7370,3790,586,14,0,8,6,2,134,122,12,195,174,21,141,135,6,63,57,6,31,21,10,3204,3580,540,33,21,12,16,16,0,82,71,11,109,98,11,181,138,43,101,79,22,18,6,12,3040
16017,"Bonner County, Idaho",45184,22641,4012,118,57,372,231,141,1075,782,293,931,708,223,1158,954,204,264,161,103,94,75,19,18629,22543,4395,214,72,142,304,304,0,952,620,332,1044,895,149,919,731,188,864,805,59,98,81,17,18148
16019,"Bonneville County, Idaho",115947,58152,17931,929,477,973,944,29,4804,4294,510,4008,3679,329,3995,3869,126,2728,1770,958,494,359,135,40221,57795,16842,921,281,640,781,723,58,4145,3798,347,4479,4290,189,3566,3327,239,2435,1681,754,515,366,149,40953
16021,"Boundary County, Idaho",11530,5752,1195,72,21,81,30,51,314,240,74,313,238,75,349,279,70,59,24,35,7,0,7,4557,5778,1278,43,24,19,52,52,0,334,180,154,295,233,62,274,204,70,274,115,159,6,6,0,4500
16023,"Butte County, Idaho",2514,1311,268,29,0,8,8,0,128,128,0,45,45,0,49,49,0,8,8,0,1,1,0,1043,1203,328,11,11,0,34,28,6,94,88,6,45,42,3,24,18,6,74,64,10,46,23,23,875
16025,"Camas County, Idaho",1001,421,86,0,0,4,4,0,34,29,5,27,27,0,20,20,0,0,0,0,1,1,0,335,580,171,0,0,0,14,14,0,78,70,8,36,28,8,27,27,0,16,16,0,0,0,0,409
16027,"Canyon County, Idaho",218680,108427,31002,1386,649,1665,1417,248,7168,6261,907,7785,7060,725,7600,6959,641,4557,3146,1411,841,455,386,77425,110253,30290,1448,530,918,1852,1682,170,6666,5852,814,7307,6728,579,7351,6569,782,4900,3460,1440,766,546,220,79963
16029,"Caribou County, Idaho",6710,3438,931,39,16,45,43,2,250,239,11,211,209,2,287,269,18,94,94,0,5,5,0,2507,3272,954,39,19,20,45,45,0,144,144,0,239,238,1,308,297,11,126,117,9,53,53,0,2318
