AvyYear,lat,lon,PrimaryActivity,TravelMode,Killed
2022,40.25337,-105.600944,Climber,Foot,1
2022,61.1262988,-145.7271624,Mechanised Guide,Ski,1
2022,40.50566,-106.72047,Backcountry Tourer,Ski,1
2022,37.811,-107.838,Backcountry Tourer,Snowboard,1
2022,43.594646,-111.011139,Backcountry Tourer,Ski,1
2022,41.08325,-106.88938,Snowmobiler,Snowmobile,1
2022,39.0633427,-107.1758918,Resident,Snowshoe,1
2022,45.0466424,-109.9771345,Snowmobiler,Snowbike,1
2022,44.7007794,-111.2909701,Snowmobiler,Snowmobile,1
2022,39.3698477,-106.0733894,Hiker,Snowshoe,2
2022,45.07147,-109.94407,Snowmobiler,Snowmobile,2
2022,40.5108549,-105.8907319,Backcountry Tourer,Ski,1
2022,43.7069491,-111.3444239,Hybrid Rider,Snowmobile,2
2022,46.9037942,-121.4954424,Backcountry Tourer,Ski,1
2021,62.99264,-150.71404,Climber,Foot,1
2021,61.79476,-147.73927,Motorized Guided client,Ski,1
2021,39.5776,-106.5548,Sidecountry Rider,Ski,1
2021,39.36713,-120.32926,Snowmobiler,Foot,1
2021,47.537,-115.82937,Snowmobiler,Snowmobile,1
2021,43.69679,-110.79015,Backcountry Tourer,Snowboard,1
2021,42.46526,-111.54934,Snowmobiler,Snowmobile,1
2021,40.56855,-115.39873,Snowmobiler,Snowmobile,1
2021,43.812,-114.84442,Snowmobiler,Snowmobile,1
2021,43.75778,-110.06862,Backcountry Tourer,Snowboard,1
2021,43.1507,-110.9939,Snowmobiler,Snowmobile,1
2021,40.3544,-105.96973,Snowmobiler,Snowmobile,1
2021,45.3407,-111.391,Backcountry Tourer,Snowboard,1
2021,39.6927,-105.8909,Backcountry Tourer,Snowboard,1
2021,39.93438,-105.68267,Snowmobiler,Snowmobile,1
2021,47.37055,-121.11164,Snowmobiler,Snowbike,1
2021,40.67619,-111.67168,Backcountry Tourer,Ski,4
2021,48.23555,-113.96937,Snowmobiler,Snowmobile,1
2021,39.6059,-106.2956,Sidecountry Rider,Ski,1
2021,41.39009,-122.98229,Backcountry Tourer,Ski,1
2021,61.41102,-149.38629,Climber,Foot,3
2021,37.84364,-107.76892,Backcountry Tourer,Ski,3
2021,44.25602,-71.32073,Backcountry Tourer,Ski,1
2021,40.66465,-111.60109,Sidecountry Rider,Ski,1
2021,40.6529,-111.59156,Sidecountry Rider,Snowboard,1
2021,39.8261,-105.772,Backcountry Tourer,Ski,1
2021,37.82931,-107.74661,Backcountry Tourer,Ski,2
2021,38.83428,-107.09508,Backcountry Tourer,Ski,1
2021,42.60289,-110.75731,Snowmobiler,Snowmobile,1
2020,38.89532,-107.03138,Backcountry Tourer,Ski,1
2020,39.6458,-106.15636,Backcountry Tourer,Ski,1
2020,43.35006,-111.21846,Snowmobiler,Snowmobile,1
2020,43.53018,-110.98117,Backcountry Tourer,Snowboard,1
2020,42.76727,-112.13999,Sidecountry Rider,Ski,1
2020,61.76992,-149.31278,Backcountry Tourer,Snowboard,1
2020,53.87779,-166.53277,Snowmobiler,Snowmobile,1
2020,39.6897,-106.4702,Snowmobiler,Snowbike,2
2020,60.31759,-149.60966,Snowmobiler,Snowmobile,1
2020,47.33538,-120.58043,Resident,Foot,1
2020,37.983432,-107.655867,Climber,Foot,1
2020,40.97512,-111.8223,Snowmobiler,Snowmobile,1
2020,39.15756,-120.22238,Inbounds Rider,Ski,1
2020,43.69076,-114.67559,Snowmobiler,Snowmobile,1
2020,44.86901,-118.19007,Snowmobiler,Snowmobile,1
2020,47.48811,-116.1278,Inbounds Rider,Ski,3
2020,47.25592,-113.71536,Snowmobiler,Snowmobile,2
2020,40.65347,-111.59126,Sidecountry Rider,Snowboard,1
2020,40.51611,-105.90773,Backcountry Tourer,Ski,1
2019,44.27047,-71.30302,Backcountry Tourer,Ski,1
2019,59.26892,-135.5229,Backcountry Tourer,Snowboard,1
2019,42.84156,-106.32372,Resident,Foot,1
2019,60.44865,-149.49703,Backcountry Tourer,Ski,1
2019,38.80363,-106.8897,Resident,Foot,1
2019,39.78113,-105.86643,Mechanized Guide,Ski,1
2019,43.80692,-110.09852,Snowmobiler,Snowmobile,1
2019,37.82918,-107.8806,Backcountry Tourer,Ski,1
2019,45.8068,-110.935,Backcountry Tourer,Ski,1
2019,37.90765,-107.81133,Backcountry Tourer,Ski,1
2019,38.900249,-106.871974,Backcountry Tourer,Ski,2
2019,40.86998,-111.00054,Snowmobiler,Snowmobile,1
2019,38.20105,-112.40459,Snowmobiler,Snowmobile,1
2019,45.53253,-111.99267,Backcountry Tourer,Ski,1
2019,43.43538,-111.12406,Snowmobiler,Snowmobile,1
2019,38.45639,-109.23622,Snowmobiler,Snowmobile,1
2019,39.0255,-106.78511,Backcountry Tourer,Ski,1
2019,39.63323,-111.25,Backcountry Tourer,Ski,1
2019,36.59686,-105.44398,Inbounds Rider,Ski,2
2019,43.72431,-110.40504,Snowmobiler,Snowmobile,1
2019,37.91467,-107.73362,Backcountry Tourer,Ski,1
2019,47.9255,-112.79538,Snowmobiler,Snowmobile,1
2019,42.928524,-110.525528,Snowmobiler,Snowmobile,1
2018,60.63803,-148.76375,Snowmobiler,Snowmobile,1
2018,43.71207,-110.38285,Snowmobiler,Snowmobile,1
2018,45.79356,-110.93668,Sidecountry Rider,Ski,1
2018,39.48928,-105.8942633,Snowmobiler,Snowmobile,1
2018,39.1356,-106.87936,Sidecountry Rider,Ski,1
2018,48.71588,-121.85568,Snowmobiler,Snowmobile,1
2018,48.698,-120.44506,Backcountry Tourer,Ski,1
2018,38.70123,-120.07545,Resident,Foot,2
2018,47.28918,-120.85939,Snowmobiler,Snowmobile,2
2018,55.36253,-131.71496,Backcountry Tourer,Snowboard,1
2018,47.42726,-121.4157,Hiker,Snowshoe,2
2018,47.28327,-121.35053,Snowmobiler,Snowmobile,1
2018,43.37248,-111.13924,Snowmobiler,Snowmobile,1
2018,43.58847,-110.87502,Sidecountry Rider,Ski,1
2018,37.868103,-107.731504,Backcountry Tourer,Ski,1
2018,44.53606,-111.51295,Snowbiker,Snowbike,1
2018,44.53577,-111.51303,Snowmobiler,Snowmobile,1
2018,44.92997,-111.24546,Snowmobiler,Snowmobile,1
2018,42.58895,-110.73395,Snowmobiler,Snowmobile,1
2018,61.77018,-149.3127,Backcountry Tourer,Ski,1
2018,44.9926,-111.45364,Backcountry Tourer,SKi,1
2017,47.45607,-121.38914,Backcountry Tourer,Foot,1
2017,64.75012,-147.33215,Resident,Foot,1
2017,47.45038,-121.00136,Snowmobiler,Snowmobile,1
2017,40.07444,-107.24227,Snowbiker,Snowbike,1
2017,43.18684,-111.10276,Snowmobiler,Snowmobile,1
2017,60.49072,-149.81369,Snowmobiler,Snowmobile,1
2017,48.65865,-113.89389,Backcountry Tourer,Ski,1
2017,46.93807,-121.50192,Backcountry Tourer,Ski,1
2017,46.63541,-121.39051,Sidecountry Rider,Ski,1
2017,43.777267,-110.9207,Sidecountry Rider,Foot,1
2017,45.05133,-109.94499,Hybrid Tourer,Ski,1
2017,39.319495,-119.882984,Inbounds Rider,Ski,1
2016,63.13543,-145.54688,Snowmobiler,Snowmobile,1
2016,63.13287,-145.51838,Snowmobiler,Snowmobile,1
2016,43.15673,-122.21706,Mechanized Guide,Ski,1
2016,45.38254,-117.23099,Backcountry Tourer,Ski,1
2016,61.9341,-147.16324,Snowmobiler,Snowmobile,1
2016,44.50079,-111.33665,Resident,Foot,1
2016,43.78727,-110.95917,Sidecountry Rider,Foot,1
2016,44.61589,-107.38586,Snowmobiler,Snowmobile,1
2016,38.78811,-106.38731,Snowbiker,Snowbike,1
2016,37.49201,-106.70106,Snowmobiler,Snowmobile,1
2016,40.68023,-111.59942,Sidecountry Rider,Ski,1
2016,45.02176,-116.12926,Snowmobiler,Snowmobile,1
2016,48.86637,-121.7029,Backcountry Tourer,Foot,1
2016,43.59215,-110.87834,Sidecountry Rider,Ski,2
2016,48.65633,-114.55822,Snowmobiler,Snowmobile,1
2016,39.75178,-105.83877,Backcountry Tourer,Snowboard,1
2016,40.66633,-111.68551,Backcountry Tourer,Ski,1
2016,38.89564,-107.12571,Snowmobiler,Snowmobile,1
2016,43.58226,-110.8263,Backcountry Tourer,Snowboard,1
2016,45.2674,-111.29631,Backcountry Tourer,Ski,1
2016,61.77334,-149.30763,Backcountry Tourer,Snowboard,1
2016,39.8328,-105.64831,Climber,Foot,1
2016,39.31398,-120.3389,Sidecountry Rider,Ski,1
2016,61.76959,-149.31244,Snowmobiler,Snowmobile,1
2016,47.42748,-121.41789,Hiker,Snowshoe,1
2016,47.4395,-121.3841,Backcountry Tourer,Ski,1
2016,45.0719,-109.92765,Snowmobiler,Snowmobile,1
2016,61.78027,-149.289121,Backcountry Tourer,,1
2016,36.59012,-118.29052,Hiker,Foot,1
2015,43.840977,-110.76783,Backcountry Tourer,Ski,2
2015,45.34349,-111.39699,Backcountry Tourer,Ski,1
2015,61.257718,-144.316144,Backcountry Tourer,Ski,1
2015,63.236944,-149.298611,Snowmobiler,Foot,1
2015,41.20948,-111.88039,Sidecountry Rider,Snowboard,1
2015,39.16365,-106.83021,Sidecountry Rider,Ski,1
2015,37.80219,-107.65048,Backcountry Tourer,Ski,1
2015,39.65381,-105.79688,Climber,Snowshoe,1
2015,63.30806,-145.68832,Backcountry Tourer,Ski,1
